Mchirp q EOS_ID alpha zeta L
0.118502445921791133E+01 0.122353016946224313E+01 0.278415762261372856E+04 -0.150614912223878306E+01 0.201376142026778948E+00 0.859145092578791747E+01
0.119052857752496166E+01 0.158785423463902298E+01 0.417488438121463514E+04 -0.160480455759921514E+01 0.394937057840560810E-01 0.860607742502063999E+01
0.118551135962738741E+01 0.149637906777887864E+01 0.460378751040310908E+04 -0.167855538762860856E+01 0.172351144047193539E+00 0.861466043525741476E+01
0.118673509238041097E+01 0.166070187091827393E+01 0.437112867832183838E+04 -0.175895535945892334E+01 0.517629981040954590E-01 0.863678569433418275E+01
0.118821517315949565E+01 0.140420387468980845E+01 0.375369449829457744E+04 -0.187455649980307015E+01 0.262075513823243289E+00 0.865127615423985930E+01
0.118667304523699668E+01 0.116381689860755433E+01 0.384977577216318150E+04 -0.168306817500320793E+01 0.285952845731937466E+00 0.866818460166559746E+01
0.119257203295460790E+01 0.140924895462714517E+01 0.390990702446101568E+04 -0.156566782627048262E+01 0.171225556887728281E+00 0.867749432187799741E+01
0.119262142398798243E+01 0.149123647413833749E+01 0.403161933091515812E+04 -0.163687417455667084E+01 0.413258422499109934E+00 0.868221386787878657E+01
0.118644869017030419E+01 0.129589576074157220E+01 0.441986329606691834E+04 -0.189718855138930409E+01 0.286430512219367273E+00 0.868369046839045566E+01
0.119254323105171300E+01 0.147217459705109288E+01 0.387105908220152105E+04 -0.157403314524141691E+01 0.408601803294836197E+00 0.870466658740712873E+01
0.119236522964837932E+01 0.118809926119206355E+01 0.297147195590663614E+04 -0.125875549846850432E+01 0.245093748231604430E+00 0.870686183784056311E+01
0.118874005318801967E+01 0.127255284050915485E+01 0.369698837086132835E+04 -0.155360424984715872E+01 0.174159281844192132E+00 0.871622404434693721E+01
0.118699809359631270E+01 0.132345265150070190E+01 0.361480057239532471E+04 -0.177586579322814941E+01 0.275562435388565063E+00 0.874321695923835485E+01
0.118451713502452360E+01 0.125835618119000658E+01 0.387341027059856606E+04 -0.170935877731251407E+01 0.145003154114359240E+00 0.874625482756695760E+01
0.119274387899215650E+01 0.115554169186154221E+01 0.338008861727036947E+04 -0.147782645441491223E+01 0.397652656392505841E-01 0.874892588817539796E+01
0.118687107990071317E+01 0.110579752664357889E+01 0.412426349644145557E+04 -0.172585717175675279E+01 0.108234153857955980E-01 0.875650360128691752E+01
0.118753068350770641E+01 0.105438076446296325E+01 0.450840928045002329E+04 -0.154376106819906500E+01 0.217917460662602702E+00 0.876635693383750869E+01
0.119236765769699926E+01 0.148406735899379516E+01 0.349274573586256111E+04 -0.154531550081013402E+01 0.209193907539750479E+00 0.877958786382301071E+01
0.119022256263175685E+01 0.117230094966377529E+01 0.412321520724441598E+04 -0.127296858604976659E+01 0.512967022721067187E-01 0.878021951513267496E+01
0.119134533387771113E+01 0.114783745016389549E+01 0.440762866223900346E+04 -0.184385425666155833E+01 0.222635858647802914E+00 0.879706058858927875E+01
0.118638352482797482E+01 0.144207390483922104E+01 0.294714950888251406E+04 -0.163149252602526218E+01 0.345192344554873409E+00 0.880313529223020730E+01
0.118776734443510446E+01 0.148310003403280088E+01 0.417735907456408131E+04 -0.135561827755146203E+01 0.133240327287662302E+00 0.880509844972583977E+01
0.118919662798145809E+01 0.134953295303043630E+01 0.310104542657690945E+04 -0.129670741887392937E+01 0.436292947142176757E+00 0.880672363690447213E+01
0.118857131379764303E+01 0.102225557587900551E+01 0.431275989466624651E+04 -0.182158945536854677E+01 0.118086181124742021E+00 0.881215020476917310E+01
0.118546233734370987E+01 0.108961322957937568E+01 0.422105006845965727E+04 -0.175040396130687603E+01 0.177993055732864863E+00 0.881299805094700517E+01
